,DENOMINACION DEL PROGRAMA CEDEAR,Identificación Mercado,Código Caja de Valores,ISIN CEDEAR,ISIN Subyacente,Cusip # Subyacente,Ratio Cedear/Acción ó ADR,Montos Máximos ,Mercado de Negociación,Valor Subyacente,Frecuencia de Pago,País de Origen,Industria,Descripción de la Industria,Mercado Elegible
1,ABBOTT LABORATORIES,ABT,8065,ARDEUT110608,US0028241000,2824100,4:1,"30,000,000.00",NYSE,Common Stock,Quarter,Estados Unidos,Consumer,Health Care Equipment & Suppli,DTC
2,HOWMET AEROSPACE INC,HWM,8007,ARDEUT110020,US4432011082,443201108,1:1,"1,000,000.00",NYSE,Common Stock,Irreg,Estados Unidos,Industrial,Aerospace & Defense,DTC
3,AEGON LTD NPV,AEG,8242,ARDEUT112398,US0076CA1045,0076CA104,1:1,"250,000,000.00",NYSE,ADR,Semi-Anl,Paises Bajos,Financial,Insurance,DTC
4,"ALTRIA GROUP, INC",MO,8036,ARDEUT110327,US02209S1033,02209S103,4:1,"40,000,000.00",NYSE,Common Stock,Quarter,Estados Unidos,Consumer,Tobacco,DTC
5,AGNICO EAGLE MINES LIMITED,AEM,8416,ARDEUT115383,CA0084741085,8474108,6:1,"85,420,200.00",NYSE,Common Stock,Quarter,Canadá,Basic Materials,Metals & Mining,DTC
6,AMERICA MOVIL-SPN ADR,AMX,8268,ARDEUT112646,US02390A1016,02390A101,1:1,"80,000,000.00",NYSE,ADR,Semi-Anl,México,Communications,Wireless Telecommunication Ser,DTC
7,AMERICAN EXPRESS Co.,AXP,8009,ARDEUT110046,US0258161092,25816109,15:1,"9,000,000.00",NYSE,Common Stock,Quarter,Estados Unidos,Financial,Consumer Finance,DTC
8,AMERICAN INTERNATIONAL GROUP INC (AIG),AIG,8069,ARDEUT110640,US0268747849,26874784,5:1,"700,000,000.00",NYSE,Common Stock,Quarter,Estados Unidos,Financial,Insurance,DTC
9,AMGEN INC.,AMGN,8071,ARDEUT110665,US0311621009,31162100,30:1,"50,000,000.00",NASDAQ GS,Common Stock,Quarter,Estados Unidos,Consumer,Biotechnology,DTC
10,ANALOG DEVICES INC.,ADI,8066,ARDEUT110616,US0326541051,32654105,15:1,"2,000,000.00",NASDAQ GS,Common Stock,Quarter,Estados Unidos,Technology,Semiconductors & Semiconductor,DTC
11,APPLE INC.,AAPL,8445,ARDEUT116183,US0378331005,37833100,20:1,"1,799,612,000.00",NASDAQ GS,Common Stock,Quarter,Estados Unidos,Technology,"Technology Hardware, Storage &",DTC
12,APPLIED MATERIALS INC.,AMAT,8070,ARDEUT110657,US0382221051,38222105,5:1,"200,000,000.00",NASDAQ GS,Common Stock,Quarter,Estados Unidos,Technology,Semiconductors & Semiconductor,DTC
13,AT&T INC,T,8177,ARDEUT111713,US00206R1023,00206R102,3:1,"1,000,000,000.00",NYSE,Common Stock,Quarter,Estados Unidos,Communications,Diversified Telecommunication,DTC
14,AUTOMATIC DATA PROCESSING INC,ADP,8073,ARDEUT110681,US0530151036,53015103,6:1,"6,000,000.00",NASDAQ GS,Common Stock,Quarter,Estados Unidos,Consumer,IT Services,DTC
15,AVERY DENNISON CORPORATION,AVY,8075,ARDEUT110707,US0536111091,53611109,18:1,"2,000,000.00",NYSE,Common Stock,Quarter,Estados Unidos,Consumer,Containers & Packaging,DTC
16,AVIS BUDGET GROUP INC.,CAR,8087,ARDEUT110822,US0537741052,53774105,26:1,"2,000,000.00",NASDAQ GS,Common Stock,Irreg,Estados Unidos,Consumer,Road & Rail,DTC
17,ASTRAZENECA PLC - ADR,AZN,8244,ARDEUT112489,US0463531089,46353108,2:1,"700,000,000.00",NASDAQ GS,ADR,Semi-Anl,Reino Unido,Consumer,Pharmaceuticals,DTC
18,BANCO BILBAO VIZCAYA-SP ADR,BBVA,8229,ARDEUT112232,US05946K1016,05946K101,1:1,"1,000,000,000.00",NYSE,ADR,Semi-Anl,España,Financial,Banks,DTC
